Qwen3-4B-Instruct-2507

Avg@16
Method,Y,AIME24,AIME25,HMMT25,BeyondAIME,AMOBench
Base,-,**63.13**,**49.58**,31.25,32.19,10.58
Forward KL,y_o,**63.13**,48.75,30.83,32.25,9.46
Forward KL,y_r,**63.13**,49.38,**32.08**,32.19,10.58
Forward KL w/ Clip 0.06,y_o,**63.13**,49.17,27.92,32.44,9.29
Forward KL w/ Clip 0.1,y_r,**63.13**,48.13,29.79,**32.69**,**11.54**
Reverse KL,y_o,**63.13**,48.75,30.00,31.63,10.10
Reverse KL w/ Top-K,y_o,**63.13**,48.96,31.04,32.25,9.62

pass@16
Method,Y,AIME24,AIME25,HMMT25,BeyondAIME,AMOBench
Base,-,**86.67**,**80.00**,50.00,59.00,**33.33**
Forward KL,y_o,**86.67**,76.67,53.33,58.00,**33.33**
Forward KL,y_r,**86.67**,76.67,**56.67**,60.00,30.77
Forward KL w/ Clip 0.06,y_o,**86.67**,76.67,46.67,62.00,28.21
Forward KL w/ Clip 0.1,y_r,**86.67**,**80.00**,50.00,**64.00**,**33.33**
Reverse KL,y_o,**86.67**,76.67,50.00,60.00,28.21
Reverse KL w/ Top-K,y_o,**86.67**,76.67,**56.67**,57.00,25.64
