Qwen3-8B

Avg@16
Method,Y,AIME24,AIME25,HMMT25,BeyondAIME,AMOBench
Base,-,**76.46**,66.67,41.46,**43.81**,15.87
Forward KL,y_o,75.42,67.71,**44.58**,42.81,15.71
Forward KL,y_r,75.42,**68.75**,42.50,42.69,**17.31**
Forward KL w/ Clip 0.06,y_o,**76.46**,68.54,43.54,42.75,15.87
Forward KL w/ Clip 0.1,y_r,**76.46**,68.13,40.83,41.56,15.54
Reverse KL,y_o,75.42,68.54,44.38,43.69,16.83
Reverse KL w/ Top-K,y_o,75.42,68.54,44.38,41.88,15.22

pass@16
Method,Y,AIME24,AIME25,HMMT25,BeyondAIME,AMOBench
Base,-,**90.00**,83.33,66.67,66.00,41.03
Forward KL,y_o,86.67,**86.67**,**73.33**,68.00,51.28
Forward KL,y_r,86.67,83.33,**73.33**,68.00,**61.54**
Forward KL w/ Clip 0.06,y_o,**90.00**,**86.67**,70.00,61.00,43.59
Forward KL w/ Clip 0.1,y_r,**90.00**,**86.67**,66.67,64.00,48.72
Reverse KL,y_o,86.67,**86.67**,**73.33**,64.00,51.28
Reverse KL w/ Top-K,y_o,86.67,**86.67**,66.67,**69.00**,38.46
